lat;lon;date_msg;address;inf_detail;vid
52.500783;38.600072;01.12.2018;Краи, Улица Первомайская, дом 33а;д.Краи.;3
52.713182;38.531898;01.12.2018;Ивацевичи, Улица М.Танка, дом 2в, 8;В квартире захлопнулась дверь.;0
53.148343;26.040602;02.12.2018;г. Барановичи, Улица Кирова, дом 64;Сбор и выезд по тревоге.;0
52.028011;23.813285;05.12.2018;Мухавец;Н-1;0
54.005448;27.243881;02.12.2018;Кирши;В результате пожара уничтожена кровля, выгорел мансардный этаж, выгорел коридор 2х3, закопчены стены и имущество в дачном доме 7х7 (одноэтажный, кирпичный). Хозяин: Гайко Н.М., 1943 г.р., пенсионер.;3
52.975018;25.089383;02.12.2018;Мижевичи, Улица Гагарина, дом 65;Пожар одноэтажного, деревянного жилого дома, размерами 7х15 метров, кровля шиферная по деревянной обрешетке, электрифицирован, АПИ не оборудован. В результате пожара уничтожена кровля, повреждены перекрытие, стены, имущество в доме.;3
54.451949;28.648264;01.12.2018;Хрост, Улица Набережная, дом 37;Пожар деревянного жилого дома 4х7 м, с пристройкой 2,5х4 м, крыша шиферная по деревянной обрешетке, не электрифицирован, АПИ не установлен.;3
53.132623;26.044857;02.12.2018;г. Барановичи, Улица Тельмана, дом 21;Сбор и выезд по тревоге.;0
53.740179;27.691766;02.12.2018;Михановичи, Улица Заводская, дом 1;В результате пожара выгорело парильное помещение 2х2, повреждено потолочное перекрытие на площади 4 м кв, закопчены стены в душевой2,5х3 и в комнате отдыха 2,8х4,8 деревянной бани 5х6, крыша металлочерепица по деревянной обрешетке. Хозяин: Алтухов В.;3
52.571845;26.031981;02.12.2018;Малое Городище;Транспортировка тяжелобольного в автомобиль СМП, самостоятельно передвигаться не может, вес около 13  кг;0
52.556743;31.180713;02.12.2018;Ветка, Улица Октябрьская, дом 31;Горение мусора на площади 1 м. кв.;0
53.169638;29.168921;01.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП, фасад б/р №11;0
53.146115;29.233249;01.12.2018;г. Бобруйск, Улица Минская, дом 11, кв.5;Пригорание пищи;0
53.137455;29.276236;02.12.2018;г. Бобруйск, Улица 1 Мая, дом 92 а;тление обоев на стене;0
53.988143;29.652795;09.12.2018;Воротынь, Улица Советская, дом 73;ПАСП фасад б/р №15;0
53.182617;29.206451;05.12.2018;г. Бобруйск, Шоссе Минское, дом 4;Ремонт;0
53.187316;29.211058;05.12.2018;г. Бобруйск, Улица Энергетиков, дом 7;ПАСП;0
55.297436;29.606945;03.12.2018;Шумилино, Улица Дубосарского, дом 4, 18;Оказание помощи 1 2 (открывание дверей);0
51.557628;23.601669;05.12.2018;Томашовка;ТСЗ;0
53.073087;30.049841;02.12.2018;Рогачёв, Улица Советская, дом 35;Из-под кровли жилого дома идет дыма;3
53.746218;30.704569;01.12.2018;Сталка, дом 68;Обеспечение пожарной безопастности;5
53.658266;30.359699;05.12.2018;Полна;Обеспечение пожарной безопасности;0
53.761063;27.627320;02.12.2018;Цесино, дом 102;В результате пожара уничтожена кровля, повреждено имущество, закопчены стены внутри блочного гаража 6х6, крыша металлопрофиль по деревянной обрешетке. Хозяйка: Грошева М.В., 1966 г.р.;3
53.769159;27.387751;01.12.2018;Волковичи, Улица Минская, дом 3;Пожар деревянной бани 4х8 м, крыша металлическая по деревянной обрешетке, электрифицирована. В результате пожара повреждено перекрытие на площади 2 кв.м., закопчены стены парильного помещения 3х3 м. Причина пожара устанавливается.;3
51.805856;30.176934;04.12.2018;Бурки, Улица Кооперативная, дом 72;В результате перекала печи произошло возгорание пола на площади 2 кв.м.;3
54.000614;27.276841;05.12.2018;Заславль, Улица Путейко, дом 1;Ложная сработка сигнализации  Молния;0
53.089406;29.232966;05.12.2018;г. Бобруйск, Улица Силикатная, дом 1;ПАСП, фасад;0
