lat;lon;date_msg;address;inf_detail;vid
54.157387;27.835237;05.12.2018;Силичи;проведение ТСУ;0
54.122558;31.096788;05.12.2018;Дрибин, Улица Ленина, дом 37;Дежурство по обеспечению пожарной безопасности при проведении культурно-массовых мероприятий  Цирковое представление;5
53.089406;29.232966;05.12.2018;г. Бобруйск, Улица Силикатная, дом 1;ТСЗ;0
53.169638;29.168921;05.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП;0
52.753412;25.150295;05.12.2018;Коссово, Улица 3 Февраля, дом 12А;Ликвидация последствий розлива ЛВЖ;0
52.820148;25.709857;05.12.2018;Добромысль, Улица Брестская, дом 9;Тушение пожаров в электо установках;0
52.502847;25.911056;05.12.2018;Гортоль, Улица Колхозная, дом 1;Тушение пожаров в здании ПАСП;0
53.948934;27.419905;05.12.2018;Ждановичи;показательные выступления;0
54.849292;29.156520;05.12.2018;Чашники, Улица Советская, дом 74;ТСП;0
53.988587;27.799498;05.12.2018;Королев Стан;проверка ППВ;0
53.132623;26.044857;05.12.2018;Русино, Улица Школьная, дом 25;ТСЗ.;0
53.327517;26.006629;05.12.2018;Городище, Улица Рымши, дом 4;Отработка норматива б/р № 2.;0
54.371381;29.168049;05.12.2018;Худовцы, Улица Магистральная, дом 2;занятие на огневой полосе психофизической подготовки.;0
53.175832;29.205443;05.12.2018;г. Бобруйск, Улица Минская, дом 142а;ТСЗ;0
53.673985;30.681442;05.12.2018;Волковичи, Улица Центральная, дом 26;Занятие боевое развертывание схема №13;0
53.978023;30.803499;05.12.2018;Сластены, Улица Центральная, дом 20;Боевое развертывание схема №13;0
53.815222;31.081119;05.12.2018;Староселы;Уборка аварийных деревьев;0
53.194533;26.159741;05.12.2018;Крошин, Улица Советская, дом 22;Отработка норматива б/р № 2.;0
53.140242;25.737759;05.12.2018;Полонка, Улица Щербакова, дом 46;Отработка норматива б/р № 6.;0
53.146164;29.231206;05.12.2018;г. Бобруйск, Улица Социалистическая, дом 126, кв.53;открывание двери;0
52.577427;25.380210;05.12.2018;Ходаки, Улица Михнюка, дом 44;ТСЗ;0
54.418832;27.834598;05.12.2018;Плещеницы, Улица В.И.Ленина, дом 1;проведение ТСЗ в АСВ;0
54.046217;30.825055;05.12.2018;Коровчино;Занятия ПАСП б/р № 14;0
53.182617;29.206451;05.12.2018;г. Бобруйск, Шоссе Минское, дом 4;ТСЗ;0
54.009404;31.194490;05.12.2018;Рясно;Занятия ПАСП б/р № 14;0
52.879589;25.497904;05.12.2018;Бытень, Улица Комсомольская, дом 2;упр.;0
